x,y,d,tile,crater,id
901,1352,56,1_25,0,HJ65B
431,1132,22,2_24,0,MOM5C
705,1505,24,1_24,0,I2HU6
1374,869,22,3_25,1,9WTQD
510,914,11,2_25,1,SG1NH
1317,111,25,1_24,0,B1335
759,554,20,1_25,1,IRXYE
1268,615,31,3_25,0,XHQO9
850,1481,49,1_24,1,XUW3W
970,1481,31,1_24,0,20HJQ
1220,1396,20,1_25,1,NL7RU
166,312,24,1_24,0,69R1M
1508,664,23,1_25,1,BM00I
1178,161,41,3_24,1,OSSFI
1179,1143,64,1_25,0,9A1QB
57,579,19,1_25,1,S5PVI
1005,1138,29,3_24,0,67UWX
609,1566,12,3_24,1,SFXNL
231,657,24,1_25,1,134K6
1565,1546,28,1_25,0,YTFMU
1656,1280,22,2_25,0,3J3C6
1565,497,21,3_25,1,GFGI7
123,1410,20,3_24,1,JK7K4
1477,48,19,1_25,1,PSY14
1011,469,32,1_25,0,BWY7Y
920,1055,68,3_25,0,X4X7T
412,248,24,2_25,0,51TUU
461,53,19,3_24,1,CPTFJ
829,1027,41,1_24,0,46AQG
1536,427,35,1_25,1,T4IH9
60,710,26,2_24,1,GMVL3
205,788,30,1_24,1,9SWIK
1084,1179,32,1_25,0,H1ILS
85,651,24,1_24,0,O5XTP
1402,1665,23,1_25,0,S0QFA
493,1161,24,2_24,1,PX5SH
117,295,13,1_25,1,YV0VN
1097,1178,16,1_25,1,LOI3U
1415,1472,50,1_24,0,PFT48
578,78,30,1_25,0,Z3EQR
1536,1647,21,3_24,1,Y21BH
527,1385,32,1_24,1,WC94V
243,791,18,2_24,1,ADMSN
934,1097,29,1_24,1,4C8MW
86,643,27,2_24,0,M0CDW
1535,1390,22,1_24,1,MTCX9
49,1088,17,1_25,1,XDKX1
931,84,33,1_25,1,L5CSB
445,1469,25,2_24,0,RMOWF
337,869,18,2_25,1,EOAOX
1375,457,65,1_25,0,7ZN9O
1442,538,15,1_24,1,FMS3F
688,775,36,3_24,0,M654U
1288,1486,65,1_24,0,7K4GT
1081,1294,21,1_24,1,EPCFL
268,1365,70,1_25,0,LD0Q0
376,1276,48,3_24,0,Q59XE
526,1587,24,1_25,1,M6A2A
1490,1328,28,3_24,0,IKUBC
49,818,29,1_24,0,KJ1WY
810,1620,23,2_25,0,7D9CZ
630,1422,28,1_24,0,XSQO0
1416,1618,56,3_24,1,M9NK7
769,63,57,3_25,0,3995T
310,1585,57,2_25,0,0EK0I
72,1523,13,1_25,1,0GOPD
1397,1191,16,3_24,1,E515N
1053,608,20,2_25,1,CQMAD
1383,1337,53,1_25,1,SII9T
1055,1510,27,1_24,1,ZQ9PV
1153,1259,33,3_25,0,2SQ0H
1516,1455,58,3_24,0,N6ZJO
140,587,40,2_25,0,C483Z
111,889,32,1_25,1,QCBMA
241,974,46,1_24,1,2MGOA
328,1301,31,2_24,0,WCPUF
1355,480,54,3_25,0,TIRMF
236,1332,26,3_24,0,Q4G9C
144,1024,21,1_25,0,98482
1103,1150,34,2_25,0,XMJAM
1236,358,29,1_25,0,59GOL
990,918,28,1_25,1,QO8W2
794,1492,64,2_24,0,GZ965
1411,410,21,3_24,1,YCY58
227,1612,42,3_25,1,VO962
263,674,27,2_25,0,3A0HX
1681,1535,16,2_24,1,RENBP
1494,1330,33,3_24,0,DU7Y5
1448,1145,29,3_25,1,ZGAA3
66,188,20,1_25,0,AGUU4
120,578,32,2_24,1,0IOW4
163,1129,24,2_25,0,J7GXY
393,766,28,1_24,0,5HAE9
311,1221,18,1_24,1,W33SR
681,1440,28,1_25,1,LF5WD
693,712,20,1_24,0,BJPCE
313,810,20,2_25,1,XRC53
140,545,43,2_24,0,14G7X
133,1686,14,1_24,1,D6EV3
227,1393,27,3_24,0,1K6ZQ
1467,1464,20,1_25,0,DMMZZ
1495,1327,52,3_24,0,7WXHN
696,212,41,3_25,0,FB4S8
478,47,21,2_25,1,PP5V9
1435,1481,24,1_24,0,MQ7AY
50,1543,43,3_25,0,DHJKU
522,1400,23,1_25,0,VSNMN
1097,1020,20,1_25,1,JSSFS
494,1150,33,1_25,0,S66F8
1020,533,58,3_25,0,XTPY2
632,584,18,1_25,1,6YQ8K
183,567,31,3_25,0,AIO13
311,1365,20,2_24,0,26CLA
1487,1416,27,1_25,0,J6CAH
362,1332,21,3_24,1,ZZ2HT
383,239,17,3_24,1,GED19
1469,1455,15,1_25,0,QXFIY
999,1052,14,1_25,1,0YRT3
1003,68,65,2_24,0,U7WQP
1287,613,43,3_24,0,CIZ32
392,764,37,1_24,0,KP1OX
1499,249,33,1_24,0,AIOCS
241,253,30,2_24,0,LR3DN
329,289,25,1_24,0,GVT51
1370,678,49,2_25,0,9QC5F
188,989,21,3_24,1,3Y27Y
294,1591,30,3_24,0,5QGDG
706,846,79,1_24,0,M24DW
1033,329,13,3_24,1,1NPIU
181,35,16,3_25,1,O1KXB
1532,988,46,2_24,0,7S02E
194,187,25,1_24,0,JDO8P
525,1469,25,3_25,1,5OD79
1050,738,42,2_24,0,9L0AN
762,942,40,3_24,1,X1252
259,131,25,2_25,0,RZ10J
310,932,75,2_24,0,BIMZU
165,646,18,1_24,1,1Z4QU
1280,59,26,1_25,0,PAI8T
1483,446,42,1_25,0,8KI8Z
344,1287,30,2_24,0,3H731
360,854,13,3_24,1,B47HP
472,641,23,1_24,0,1J3T1
307,1269,51,1_24,0,JDNFR
977,163,29,1_24,0,0OH7Y
847,1300,42,3_25,0,LMT4P
299,1191,24,1_25,1,Z1674
1564,822,18,3_25,1,DCQGS
270,1366,70,1_25,0,KZAXB
1361,759,19,3_25,0,UO7GJ
753,635,41,1_25,0,3UQAE
127,1311,29,3_25,0,CMAWN
669,389,24,1_25,0,PK6KZ
126,673,28,1_24,1,5BZJ7
658,243,21,1_24,1,4CTDG
542,1133,21,1_25,0,4UE19
1166,251,20,3_24,0,AMPBJ
135,1264,25,1_25,1,85XAY
97,1609,17,2_25,1,NINNK
1614,1089,24,1_25,0,2URPE
1307,970,40,2_25,0,NS6F3
356,1228,24,2_25,0,FYN9J
1522,808,37,3_24,0,YPC0G
658,823,15,1_24,1,QH0TM
928,452,27,1_24,0,M7MB2
99,1666,13,1_24,0,Q0NKV
1082,754,32,3_24,0,T1D9A
1122,769,31,1_25,1,XG103
582,301,31,3_25,0,GFPRH
298,876,22,3_25,0,0XNVR
1270,486,30,1_25,0,WNGKK
1350,1630,37,1_25,0,BZTX0
1404,983,42,2_25,1,4VZQY
271,836,20,1_25,0,AC2VV
355,988,34,2_24,0,IEFTG
1096,1341,48,2_24,0,8PFHP
313,936,65,1_24,0,35IFW
1568,1525,19,2_24,0,47BX2
984,1269,24,1_24,1,LY6R4
1518,567,17,2_24,1,00CZV
776,1440,18,1_25,1,M536V
1121,1449,34,3_25,1,BBTD8
523,723,20,2_25,0,DGR0W
313,478,17,1_24,1,KW227
157,279,30,3_24,0,6A38R
289,1659,30,2_24,0,422T6
753,673,17,1_25,1,LNO87
383,1458,30,2_25,0,GXMM0
785,645,31,1_24,0,OXBIU
812,1301,28,3_25,0,KIOIS
374,527,26,1_25,1,HZP7N
1054,1221,34,1_25,1,0R6F4
1098,372,22,2_25,0,E9AO9
679,1550,26,1_25,0,RP1IJ
286,1465,17,1_25,1,2HHVV
1077,888,66,3_25,1,EAC55
1339,128,36,3_25,0,4KAQI
711,978,19,3_24,1,QAHT8
1612,1521,18,1_25,1,9FGMU
1090,272,66,2_24,0,I2RZC
59,764,16,1_25,0,JHML5
1311,898,27,3_25,0,6HCX4
1219,1639,51,2_25,0,C66MY
63,188,27,1_25,0,ZEHVP
52,260,50,1_25,0,WO2IA
852,459,32,3_25,0,5EFCN
356,34,24,1_24,1,J53Z4
151,239,58,1_25,0,74SPE
1489,1129,27,1_24,0,YIC8N
1137,395,36,3_24,0,A0XNY
255,178,35,2_25,0,X6C1Y
1346,470,32,1_25,0,QY3FK
27,1670,21,2_24,1,497SB
443,440,21,3_25,1,LGXYU
1138,315,31,1_25,0,15XJ4
147,233,77,1_25,0,P05OH
1414,823,21,1_24,1,4MWG9
86,831,46,2_24,0,9NLZO
127,257,75,2_24,0,OP77K
172,1236,21,3_25,0,HJ2NU
202,868,18,2_25,0,O2AWD
625,460,62,2_25,0,U48PM
452,525,23,1_25,1,KIAJJ
811,266,22,1_25,1,M2PR4
918,373,17,1_24,1,QM5QS
1430,947,16,3_24,1,LYQGK
983,581,31,3_25,1,OL9E7
1546,1069,55,3_25,0,EYP8I
425,1335,22,2_24,1,PHU35
63,1657,16,2_25,1,P5VWT
212,552,15,1_25,1,JVRJ8
969,1067,19,1_24,1,A8SPV
972,1659,18,3_25,1,7X2SY
1534,1296,40,2_25,0,6296G
601,643,25,3_25,1,29LAT
512,1204,13,3_24,1,CC560
51,259,47,1_25,0,7619K
1210,1631,22,1_25,0,MVL8Q
1341,1097,36,3_25,0,UDWZ9
449,1536,26,1_24,0,J2SB5
278,85,30,1_25,0,L2IB5
1198,1642,36,3_25,0,K803H
820,452,26,1_25,1,84SVB
985,1525,44,1_25,0,K7X9M
710,1177,80,3_25,0,UAXPW
124,209,42,3_24,0,2H24B
418,730,29,2_24,0,A5YQ1
1147,55,25,1_25,0,X4X2W
242,248,24,2_25,0,IIPKD
1538,1498,32,1_25,0,ERSJB
553,599,21,3_24,1,P6S71
1146,857,50,3_25,0,HCNQG
1390,649,22,1_24,1,8Z2E0
1575,215,37,2_24,1,I5MVA
93,684,26,1_25,0,MK8JB
948,1388,29,3_25,0,JUUWU
170,1565,21,2_25,1,UTIVG
293,69,22,3_24,0,5UP2O
1035,1245,31,1_25,0,0N17G
1236,987,18,1_25,1,JS8US
1106,1522,21,3_25,1,SMXSH
1251,960,44,3_25,0,KG0JJ
1574,1281,21,1_24,1,3WK9K
614,343,19,1_24,1,GVBJ0
384,72,59,3_25,0,F06F4
826,1348,19,3_24,1,A7M8L
1663,871,27,1_25,1,KJXCY
274,700,20,1_25,1,NND05
162,1326,19,2_24,1,FUF3E
506,1140,68,1_25,0,GYV0I
778,1182,23,3_24,1,AAKJA
737,1091,30,3_24,0,JOPNN
433,236,26,3_25,0,2SDNG
175,1657,24,2_24,1,AAQKK
1612,809,16,3_25,1,YR9RS
130,850,21,1_24,1,I2XMQ
1266,144,23,3_24,0,XSP4T
324,964,18,2_24,0,JL5K6
1628,262,55,1_24,0,G6U7B
496,1151,28,1_25,0,HWX9K
557,119,42,2_25,0,MFA2O
867,1429,20,1_25,1,IKAYJ
976,285,16,1_24,1,TAYF8
1112,1502,75,1_25,0,USNTV
274,1051,27,1_25,0,IAYWA
1240,171,61,2_25,1,2VA9V
916,1195,42,2_24,0,LO40H
169,1397,15,2_25,1,DAF7C
956,1456,18,1_24,1,47RK2
487,1302,21,1_25,1,4TBXQ
1050,1356,28,3_24,0,CXZWN
851,1066,24,3_25,1,199LC
1167,602,28,1_24,1,VUPDB
501,1052,26,3_24,0,R5U4T
881,39,28,1_24,0,0VHX6
553,1152,25,1_25,0,5G1WL
1418,284,64,3_24,0,1NXIN
1571,1016,35,3_24,0,UBZYD
1163,1449,23,1_25,0,AZ2W9
591,390,22,2_24,1,UABQZ
1160,861,44,1_25,0,8ZWIT
104,1017,42,1_24,0,2HXWY
818,1586,34,1_25,0,YO3U0
628,1099,29,1_24,0,COAR1
357,256,33,2_25,0,S85BE
670,949,26,3_25,1,64MHU
424,1227,26,2_24,0,EIIBS
76,1622,45,1_24,0,YHDQV
1514,1445,13,2_24,1,LE1HB
28,1275,19,2_24,1,HEKNX
1525,1429,18,1_25,1,WATD9
76,1589,29,1_24,1,GAZBK
876,1673,24,2_25,0,XQYHY
1395,1640,25,1_25,0,EIQJY
122,687,39,1_25,0,X35GA
1404,772,14,1_25,1,S96Z6
297,1356,16,2_25,1,W5STM
887,1394,27,1_25,0,5OX30
1354,400,51,3_25,0,9TNUM
128,1267,27,3_25,1,I2MRA
938,477,74,3_24,1,V9BAM
865,532,19,1_25,1,AKATR
728,606,16,3_24,1,P1ADN
26,616,18,2_24,1,CJHQ8
1297,977,47,3_25,0,HL6IZ
1185,1248,36,3_24,0,UZCFL
1226,1457,42,3_25,0,GBFCV
1424,111,25,1_25,0,86M2N
1520,61,26,3_25,1,QON50
63,1015,17,3_25,0,KN15B
1668,1008,28,1_25,0,HOGTV
1467,1622,20,2_25,0,PYUOF
1451,65,18,1_25,1,304DV
157,146,27,2_24,0,O18BE
888,862,26,2_24,0,KD1YR
76,1128,43,2_24,0,GMH99
1392,1631,25,1_25,0,Y6ZY5
85,1441,25,3_25,1,UNU0X
1211,982,36,1_25,0,I1BZL
1601,406,54,3_24,0,ZDKIB
1625,1494,19,1_24,1,KWELU
101,654,21,1_24,1,RSMJM
1456,1357,54,2_25,0,INOY0
1101,1145,18,1_25,1,89IZ2
651,796,30,1_25,0,QKHRZ
188,551,19,2_24,1,VZ1ED
1586,663,26,1_25,0,BBVL0
749,694,25,2_24,0,985UX
542,1357,20,1_25,1,ZXFE2
57,1121,29,2_24,1,Q963G
180,198,25,2_25,1,LAUNF
1201,1498,30,3_25,0,HPYLL
175,1146,20,2_24,0,3EU0N
706,311,49,1_25,0,DUWDD
493,1246,72,3_25,0,9FA0S
386,596,25,1_24,0,RPZZI
1161,1353,19,1_25,1,WA2TS
910,1189,58,2_24,0,5PNZS
262,1653,22,3_24,0,ZVHSC
850,1410,22,1_24,1,EGT64
1069,399,46,1_25,0,Z1H44
248,1625,22,3_25,0,0MUWI
798,812,41,1_24,0,Z5CM4
271,1254,31,3_25,0,AX6SQ
360,1556,23,3_25,1,7PD48
1528,1392,48,1_24,0,86A2B
1157,126,36,3_24,1,9TJHH
1118,1503,30,1_25,1,6FCN9
460,1335,27,1_24,0,BTZEL
398,235,22,1_25,1,EPTY4
566,1455,17,2_24,1,WZ3UP
1505,1001,22,1_24,1,5F6SK
195,593,29,3_25,0,HQOSO
1481,1057,16,1_25,1,BGI0R
834,1025,42,1_24,0,R5R22
783,1626,14,3_25,1,L37GK
753,1360,27,1_25,0,5KALU
193,328,24,1_24,1,PYI4O
616,1035,24,3_25,1,M9U3C
1200,1520,15,2_24,1,W4CGT
705,1341,14,3_25,1,ET6K4
1473,934,19,2_24,1,0GSNW
199,1490,62,1_25,0,0Y2CJ
108,77,20,1_25,0,I9J5A
1402,488,38,3_25,0,QAXT0
1638,208,22,2_24,1,9EXGM
549,757,23,3_24,0,BW1JR
852,1200,21,1_24,1,6NMWQ
74,1293,25,3_24,1,H85T0
829,1621,21,2_25,0,3Q6PC
1340,1628,36,3_24,0,E56E3
87,1485,22,3_25,0,5382I
464,1206,64,1_25,0,23OB9
76,712,34,1_24,0,9GMQG
799,160,23,2_24,0,97LUP
1151,1609,53,1_25,1,HNM8U
347,1213,28,2_24,0,KCC1S
1497,1439,72,3_24,0,UZBS0
